epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
144,7368.79,0.12836,0.26695,0.1136,0.97109,0.95396,0.96135,0.71487,0.27805,0.38287,0.39415,5.281e-05,5.281e-05,5.281e-05
145,7419.82,0.13411,0.26909,0.11924,0.96886,0.95718,0.96108,0.71868,0.27989,0.38331,0.38847,5.248e-05,5.248e-05,5.248e-05
146,7470.83,0.12963,0.2529,0.11445,0.97208,0.95372,0.96479,0.71904,0.27646,0.37247,0.38645,5.215e-05,5.215e-05,5.215e-05
147,7521.95,0.13221,0.25883,0.11178,0.97961,0.95503,0.96668,0.71531,0.27939,0.38524,0.38677,5.182e-05,5.182e-05,5.182e-05
148,7573.01,0.13926,0.26618,0.11821,0.97864,0.9524,0.96512,0.72352,0.27467,0.37812,0.38019,5.149e-05,5.149e-05,5.149e-05
149,7624.06,0.13248,0.2591,0.11336,0.97096,0.9492,0.96448,0.7273,0.27004,0.38807,0.36876,5.116e-05,5.116e-05,5.116e-05
150,7675.06,0.13659,0.25546,0.11946,0.9521,0.96485,0.96275,0.72393,0.27589,0.39293,0.37373,5.083e-05,5.083e-05,5.083e-05
151,7726.12,0.13262,0.2629,0.11359,0.96877,0.95734,0.96055,0.71354,0.28311,0.3972,0.40556,5.05e-05,5.05e-05,5.05e-05
152,7777.13,0.12469,0.25982,0.11092,0.96933,0.96077,0.95858,0.71476,0.27734,0.37729,0.38328,5.017e-05,5.017e-05,5.017e-05
153,7828.1,0.12908,0.25714,0.10779,0.96748,0.96241,0.96169,0.71813,0.27178,0.38518,0.36987,4.984e-05,4.984e-05,4.984e-05
154,7879.1,0.12901,0.25063,0.10718,0.96997,0.95301,0.96611,0.7231,0.27083,0.39313,0.36208,4.951e-05,4.951e-05,4.951e-05
155,7930.11,0.12723,0.24739,0.10795,0.96928,0.95398,0.96634,0.72747,0.27648,0.36646,0.37903,4.918e-05,4.918e-05,4.918e-05
156,7981.1,0.12893,0.24915,0.11083,0.97007,0.95658,0.96645,0.72059,0.27511,0.37887,0.37826,4.885e-05,4.885e-05,4.885e-05
157,8032.12,0.12616,0.25036,0.10838,0.9659,0.95801,0.96091,0.72003,0.27861,0.37314,0.37884,4.852e-05,4.852e-05,4.852e-05
158,8083.18,0.12783,0.25633,0.10843,0.95951,0.95753,0.96043,0.72025,0.27242,0.39006,0.36589,4.819e-05,4.819e-05,4.819e-05
159,8134.17,0.1217,0.24944,0.10516,0.97306,0.95664,0.96503,0.72931,0.2721,0.38276,0.37173,4.786e-05,4.786e-05,4.786e-05
160,8185.17,0.12742,0.24923,0.10782,0.96879,0.95715,0.96149,0.71437,0.28454,0.37214,0.40011,4.753e-05,4.753e-05,4.753e-05
161,8236.2,0.12787,0.24425,0.10885,0.96936,0.95576,0.96225,0.71147,0.28356,0.39374,0.39831,4.72e-05,4.72e-05,4.72e-05
162,8287.18,0.12419,0.26723,0.10619,0.96906,0.95464,0.96075,0.71673,0.28232,0.38842,0.39748,4.687e-05,4.687e-05,4.687e-05
